ID,Name,Type,Date / Period,Location,Created By / Associated With,Detailed Historical Background,Additional Notes / Facts,Museum / Location,Discovered or Created by,Image_URL
135,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
136,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
137,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
138,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
139,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
140,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
141,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
142,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
143,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
144,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
145,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
146,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
147,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
148,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
149,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
150,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
151,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
152,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
153,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
154,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
155,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
156,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
157,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
158,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
159,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
160,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
161,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
162,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
163,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
164,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
165,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
166,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
167,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
168,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
169,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
170,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
171,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
172,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
173,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
174,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
175,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
176,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
177,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
178,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
179,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
180,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
181,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
182,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
183,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
184,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
185,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
186,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
187,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
188,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
189,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
190,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
191,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
192,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
193,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
